--time 1
--epoch 500
total images: 8189
epoch: 26, gen loss: 2.325935125350952, disc loss: 1.5729142427444458, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 26, gen loss: 2.4941442012786865, disc loss: 1.6176543235778809, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 27, gen loss: 3.3334057331085205, disc loss: 1.6062512397766113, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 27, gen loss: 2.6700165271759033, disc loss: 1.5684198141098022, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 28, gen loss: 3.3800816535949707, disc loss: 1.4841973781585693, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 28, gen loss: 2.648691415786743, disc loss: 1.5748910903930664, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 29, gen loss: 3.226259708404541, disc loss: 1.4899041652679443, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 29, gen loss: 2.3630945682525635, disc loss: 1.6224403381347656, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 30, gen loss: 2.8451790809631348, disc loss: 1.5005614757537842, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 30, gen loss: 2.9096755981445312, disc loss: 1.4584028720855713, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 31, gen loss: 1.8841841220855713, disc loss: 1.5589090585708618, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 31, gen loss: 1.9638128280639648, disc loss: 1.6032702922821045, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 32, gen loss: 1.509764313697815, disc loss: 1.620591640472412, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 32, gen loss: 1.9772555828094482, disc loss: 1.58405601978302, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 33, gen loss: 1.6628845930099487, disc loss: 1.5504772663116455, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 33, gen loss: 2.3217926025390625, disc loss: 1.4974218606948853, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 34, gen loss: 3.6351664066314697, disc loss: 1.2701311111450195, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 34, gen loss: 2.4366183280944824, disc loss: 1.4412877559661865, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 35, gen loss: 2.496461868286133, disc loss: 1.3837801218032837, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 35, gen loss: 2.3702921867370605, disc loss: 1.4314568042755127, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 36, gen loss: 3.3035728931427, disc loss: 1.2796069383621216, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 36, gen loss: 2.396480083465576, disc loss: 1.4399800300598145, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 37, gen loss: 1.6238288879394531, disc loss: 1.6296319961547852, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 37, gen loss: 2.2968244552612305, disc loss: 1.4274998903274536, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 38, gen loss: 2.3085732460021973, disc loss: 1.3426916599273682, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 38, gen loss: 2.4166886806488037, disc loss: 1.4352014064788818, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 39, gen loss: 2.563105821609497, disc loss: 1.5048046112060547, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 39, gen loss: 2.220705032348633, disc loss: 1.4713053703308105, grad penalty: 0, real loss: 0, fake loss: 0
